s,x_mid,y_mid,psi_mid,kappa_mid,w_l,w_r,x_l,y_l,psi_l,x_r,y_r,psi_r
1500.8340817618418,-227.23608709016386,-98.07367353467629,0.018523030878434987,-0.02712290157331735,5.970532872527342,5.916679093056621,-233.20559573908253,-98.18425957545399,0.0434871361127207,-221.32042298229223,-97.96408497207679,0.021529113054149063
1501.3936395367407,-227.24882966610957,-97.51426559991876,0.002216322688502359,-0.030519350528701198,5.982894486595622,5.921156274305544,-233.2317094584643,-97.52752561385658,0.035831758638091404,-221.32768793441326,-97.50114241766956,0.012956736250370193
1501.9557591758673,-227.25286712389482,-96.95216694013016,-0.01753799942654366,-0.04109012470442561,5.996656483211823,5.918216567523115,-233.24860140067497,-96.84700297344031,0.014404220502633569,-221.3355606997821,-97.05595529814477,0.021165462855830208
1502.5199700661994,-227.24652563220556,-96.38800210066296,-0.04191871379593337,-0.04293537301658137,6.011231606610478,5.908494794218776,-233.25247660846674,-96.13609279345059,-0.00400550132330868,-221.34322121809038,-96.6356060739723,0.007834222776911481
1503.0859721183795,-227.2269284209375,-95.82235344618438,-0.06666219459194367,-0.04489019221183851,6.0240818945168275,5.906440412817817,-233.2376302187769,-95.42107228627823,-0.03643619231741768,-221.33360681113842,-96.21579817374185,-0.05272418804642731
1503.6531876553329,-227.19337309828646,-95.256146047176,-0.09283891030248426,-0.04723882104898675,6.033074985932615,5.909430600568547,-233.20046702579944,-94.69684618849332,-0.07245684516887896,-221.3093910893595,-95.80398337847053,-0.05134769707322162
1504.2210349112222,-227.1452006477228,-94.69036231365487,-0.12034667034422197,-0.049632936436317936,6.033768867172444,5.8964604769083495,-233.1353277203767,-93.96596988139305,-0.10359102937100784,-221.29138882411635,-95.39826999799496,-0.04769283718984196
1504.7889693176676,-227.08170518752158,-94.12600676558534,-0.14925073001935063,-0.05221550956382655,6.037832358637977,5.882872183484397,-233.0524135744113,-93.2281977938433,-0.1208982625575643,-221.26423424785904,-95.00077358788504,-0.08129186435749958
1505.3565083514216,-227.0022241573684,-93.56408099754704,-0.17949349884523746,-0.05435717916113402,6.042295423054058,5.869839989326493,-232.94744554415317,-92.48534254844223,-0.161919126769402,-221.2266875776112,-94.61203076551436,-0.10708306935307843
1505.9232383721223,-226.90614258514967,-93.00557715857974,-0.21095514764907786,-0.05693177161497367,6.042542646290069,5.857112561030963,-232.81473027060528,-91.74030517378104,-0.19178136080167607,-221.17887425189548,-94.23202120193862,-0.14180674469227217
1506.4888333726085,-226.79298546502574,-92.45144138824921,-0.24403692538112853,-0.06040706775029744,6.0378818171054105,5.8491113041499325,-232.65196771109476,-90.99255692483884,-0.23036085474200108,-221.11718055125465,-93.86471476206847,-0.1953583253111073
1507.0530192374442,-226.6621787338023,-91.90265568811509,-0.27718038246153687,-0.0556419457486255,6.032133013924676,5.848069037713354,-232.46407026260403,-90.25199418868559,-0.2686315023168693,-221.0373256127865,-93.50294904774024,-0.24040049300046262
1507.615536715421,-226.51352965848235,-91.36015986473208,-0.3080837747227463,-0.05590078223608215,6.023953166484955,5.845574269243626,-232.25385331614643,-89.53349731864805,-0.30086608243855806,-220.94318617422988,-93.13273200845124,-0.2594383592976348
1508.1762975097915,-226.34848439924778,-90.82426092684635,-0.3395276662627462,-0.056174173116511086,6.011666807712959,5.846437713636624,-232.01695763852592,-88.8221248319354,-0.3450309345449549,-220.83580766833904,-92.7713688334427,-0.3160538385454852
1508.7351432024716,-226.1673621820296,-90.29560443121116,-0.37064627732413946,-0.055363616980012145,5.99161597250231,5.854360412894469,-231.7521081673227,-88.12533388547327,-0.38010091774610055,-220.71055120442006,-92.41615855660055,-0.35412358059335536
1509.291925625299,-225.97054404635495,-89.77479294114926,-0.40079501668183637,-0.052952833639094615,5.968327783002422,5.858098533171529,-231.46588847070277,-87.44624700362775,-0.4175653588395174,-220.57669332601972,-92.06033288415739,-0.3661302911547295
1509.8465487192545,-225.7587628017887,-89.26221827781865,-0.4293333084157931,-0.050280657163656005,5.943206097517838,5.853723677025613,-231.1625841481279,-86.78827131508443,-0.4533600663535269,-220.43630276213204,-91.6989168667353,-0.3787799819979132
1510.3989298611177,-225.53311412215498,-88.75804820742775,-0.4563001639087516,-0.047675625742460474,5.909146890695446,5.843904385969184,-230.8376896712261,-86.15430182576677,-0.4947666142656417,-220.28710604512895,-91.33304679541328,-0.3994000730837177
1510.9489358824724,-225.29475064853028,-88.26239544403727,-0.48169749361293346,-0.044974751617408965,5.869936340239139,5.827452468095814,-230.49674562962795,-85.54294681332281,-0.5196338641338063,-220.13040529033435,-90.96216196897903,-0.3942530292593318
1511.4963781739602,-225.04481639917978,-87.77535302922868,-0.5062151345982653,-0.04561380836553313,5.834931151399405,5.796825595182314,-230.1479651292547,-84.94616682462743,-0.5404002741470908,-219.974994252705,-90.58606297229903,-0.3930876071598346
1512.040977182966,-224.78431604232134,-87.29711379472946,-0.5301077641946756,-0.04139950825329893,5.802677423158239,5.758278139256203,-229.79059100132474,-84.3631273748417,-0.5606781450047895,-219.8163466803703,-90.20865076817691,-0.4032229686696778
1512.5823453026783,-224.51389256552935,-86.82813900533708,-0.5520927067182719,-0.04125402770032883,5.774038229436377,5.712244808371176,-229.43007515072904,-83.7998282115162,-0.5787025248263133,-219.65032268022003,-89.82404099329926,-0.4192121123223207
1513.1205840814469,-224.23467213900722,-86.36800282805659,-0.5742065315261619,-0.04099758109421792,5.743172221885145,5.674368958544641,-229.056774810964,-83.24849116894381,-0.6128247040587752,-219.4703383075406,-89.45014270483662,-0.481123608100672
1513.6556677405208,-223.9470459779575,-85.91681086572102,-0.595966913055403,-0.040783101475994336,5.704824995409551,5.646132820567863,-228.66839422064584,-82.71463988347894,-0.645882804494393,-219.27427174004075,-89.08603738791145,-0.4957536673739338
1514.1875680890114,-223.65139909345746,-85.47465722300383,-0.6175165059713338,-0.04060702501470195,5.6623863566012265,5.617616010916113,-228.26804995051648,-82.1960669595766,-0.6702035014697176,-219.07125034730385,-88.72732491417804,-0.5438660665697621
1514.7162570457374,-223.34810987063372,-85.04162494996181,-0.6386564988743635,-0.03956842583725153,5.616638632704702,5.60845758700168,-227.85769423742127,-81.69344957086109,-0.7004394176777448,-218.84509404389638,-88.3849234663001,-0.5914252308683359
1515.2417280321215,-223.0375717669278,-84.61774317775969,-0.658759998152488,-0.037036910963413716,5.568743317397118,5.576696962652875,-227.44106606999514,-81.20891052450307,-0.7208627128002015,-218.62778810384222,-88.03144454988427,-0.5316492536759769
1515.764100592041,-222.72030597779946,-84.2027652974597,-0.6772952558008165,-0.034226195231239695,5.51965549496543,5.536549733525232,-227.0216112091699,-80.74366569067077,-0.7451754283080189,-218.40583556306504,-87.67245231391807,-0.5839129045920103
1516.2836223640236,-222.3969828107609,-83.7961234794067,-0.6942856739935389,-0.0314293355722205,5.468694541733537,5.501743773960816,-226.59973444704485,-80.29705236345339,-0.7666588331748753,-218.16883247762874,-87.31634070491296,-0.5824584705998033
1516.8005215115725,-222.06827849149806,-83.39720991639169,-0.7097588252151474,-0.028653581923286965,5.415834177831401,5.45268376323577,-226.17629194011738,-79.86797694763919,-0.7867109107504981,-217.93231393000366,-86.95045594895366,-0.5676121750588805
1517.3149788165788,-221.73484357016468,-83.00544159519828,-0.7237461853328353,-0.025908366631991024,5.3655842517908665,5.390960539661415,-225.755438332548,-79.45237079379818,-0.793693174836953,-217.69523358682625,-86.57531648414032,-0.563647379779215
1517.8271333319758,-221.39730550467806,-82.62025823482884,-0.7362710454054227,-0.023149812639119517,5.31783788578968,5.319308452618996,-225.33770536285667,-79.0491731424226,-0.8138503586390399,-217.4558159891142,-86.19233085626364,-0.5500802733877599
1518.3371267851883,-221.05624563962039,-82.24109038149982,-0.7473402581952195,-0.020370885132151545,5.265219192761061,5.237544580782899,-224.91828003060567,-78.66237224358139,-0.8369097746933892,-217.21451055609103,-85.80099835554465,-0.5871379724606367
1518.8452589487983,-220.71210405180878,-81.8672423198754,-0.7569647438978929,-0.017585775116128785,5.209626805460082,5.195103988835155,-224.49910535777514,-78.28969671418743,-0.8479540041991105,-216.93565972575263,-85.43481484289568,-0.7020028020440687
1519.351947417198,-220.3652058908881,-81.49792807517062,-0.7651592462647551,-0.014803689950036508,5.1596689644596285,5.172496126392585,-224.0867309762978,-77.92407373266109,-0.8447978788171355,-216.63442893191115,-85.08066717534426,-0.6998588284337165
1519.857604058279,-220.015846303645,-81.1323666053746,-0.7719372422558926,-0.012025318910548706,5.1137410689347265,5.132473250533354,-223.68015239189512,-77.56540590868579,-0.8499052294970467,-216.33811746947308,-84.71239346138293,-0.6705286271873399
1520.3626143778056,-219.66430985193517,-80.76979709339227,-0.777308757315567,-0.009251899966544746,5.071129593666329,5.098695214264213,-223.27902957052592,-77.21309121410036,-0.8500006323202375,-216.02994125817966,-84.34583649651472,-0.724466528978006
1520.8673434677087,-219.31087274413147,-80.40947346784598,-0.7812485996310435,-0.006324209482919054,5.032010568553156,5.070122104666909,-222.88377571230035,-76.86610011155389,-0.8511887515491122,-215.7109092563855,-83.97968369178628,-0.7059797991713982
1521.372130468722,-218.9558184776642,-80.05066139770798,-0.7836785911233032,-0.0032809915715914075,4.996247682092879,5.035584223749654,-222.49476891148475,-76.52386104501154,-0.8444930466527278,-215.38900511950135,-83.60522901452265,-0.7193634680881791
1521.8772536734245,-218.59948897710234,-79.69264094873338,-0.7845631342519649,-0.00021733254084897746,4.967357886824357,5.006827425589774,-222.11487319871006,-76.18312272677362,-0.8399099413187814,-215.0561722817387,-83.23004503449955,-0.7318646646058828
1522.3829515650884,-218.24226679573889,-79.33469868713213,-0.7838964969373236,0.002849500137443581,4.9382195419377,4.979867017860796,-221.73935497361197,-75.84809768894554,-0.8406447221460985,-214.715685215547,-82.85070464188095,-0.7313273786399838
1522.889455620601,-217.88454271709122,-78.97611840158771,-0.7816712633744967,0.005919735715520341,4.91377026596019,4.954363605025653,-221.372028171723,-75.51453156454805,-0.8286841390963111,-214.3682466604404,-82.46630188856726,-0.7404628526111376
1523.397000267048,-217.5267108999911,-78.61617698701927,-0.7778774877227498,0.008994872078907971,4.894036451997266,4.9348612226509045,-221.01324524886203,-75.18169434364764,-0.8173051937947823,-214.0110927944778,-82.07930918533495,-0.747879854979086
1523.905827442578,-217.16917074831207,-78.25414138943447,-0.7725620567566294,0.011786810424876499,4.8792967362107325,4.915971751088081,-220.66335603710962,-74.84852752295643,-0.8034351756504077,-213.6487215726515,-81.68535339965577,-0.7419826091496421
1524.416161800844,-216.81233855957862,-77.8892972145258,-0.765852515260436,0.014413673695090602,4.868214522230192,4.903805410024934,-220.32130716643886,-74.51488586578328,-0.7923344929802149,-213.2777163363069,-81.28837844893951,-0.7575914830747125
1524.9281107104018,-216.45668359832408,-77.52105791838943,-0.7577818639639199,0.017024351293730353,4.858468020969936,4.898017818521445,-219.98569183688883,-74.18177470743987,-0.7866742251842554,-212.89894787595364,-80.88752417847921,-0.7589124443084357
1525.441721453905,-216.10270992620323,-77.14890590970955,-0.7483363148656725,0.019648484292672932,4.846947408977521,4.900941860199027,-219.65465907758903,-73.85094344610212,-0.7833745243269292,-212.51119245913063,-80.4836073057514,-0.7637655702773826
1525.9570467228696,-215.7509360127784,-76.77232501285769,-0.7375062669482733,0.022247878151062404,4.835996247039922,4.902897687558715,-219.33028777763658,-73.52038702993262,-0.7669639788064738,-212.12206729692195,-80.06925048634766,-0.7428643290982213
1526.4741575779228,-215.40189208766782,-76.39078963042627,-0.7252688876731399,0.02494952723898302,4.828898511337753,4.903122057496414,-219.0154586656805,-73.18760411924063,-0.7496312081832043,-211.7327824649896,-79.64321034236961,-0.7414385847522297
1526.993146749399,-215.05612079210798,-76.00376446827579,-0.7115086033946743,0.02795292432895476,4.82403896562668,4.908817166461665,-218.70974011032678,-72.85377751283885,-0.7363815507317925,-211.33829235896667,-79.20910964710986,-0.7294024542822805
1527.5140883868712,-214.71423565078607,-75.61071194292565,-0.6955263806910564,0.03371862767836603,4.816805645297947,4.908119882986668,-218.4121768647119,-72.52415279025696,-0.7329317670485743,-210.9461909890915,-78.75578431303799,-0.6974364247052277
1528.036908223658,-214.37714705002003,-75.21108009194609,-0.6770492705350749,0.035960247878546826,4.807511286120235,4.892235909228599,-218.12424023174123,-72.1991940626163,-0.7138733947910272,-210.5640174018864,-78.27604574886135,-0.6614793950825256
1528.5615458846908,-214.046097731126,-74.80408736516463,-0.6572531186564745,0.039766532746736014,4.797639299254392,4.887744329564082,-217.84426118665678,-71.87299589425817,-0.7076510189243426,-210.17660051915067,-77.79022801116592,-0.6747025251267823
1529.0878606294445,-213.72193098850877,-74.38946253218369,-0.6352514745876998,0.04347276466403524,4.781350951550132,4.888808824500886,-217.57054795912208,-71.5523047404145,-0.7023779022231752,-209.78681875794595,-77.29038367130357,-0.6453338729846914
1529.6158386008115,-213.40568442869824,-73.96668920459372,-0.6112657880571334,0.047147704483121125,4.763728214660994,4.882540739158086,-217.3068073738524,-71.23276413796351,-0.6806221534419296,-209.40726326571948,-76.76880131387522,-0.6171109078763712
1530.14551638489,-213.09841317268035,-73.5352623563347,-0.5852816431425335,0.050644282348948785,4.7458287027699075,4.877944987856597,-217.0543296764914,-70.91350441729644,-0.6636940973600586,-209.03237027676172,-76.23000584563103,-0.5979541199412964
1530.676892916049,-212.80123194227204,-73.09477615518769,-0.5573518642775914,0.05422266570640535,4.718701734188308,4.873489493167492,-216.80579965476343,-70.59886279685507,-0.6745116536906642,-208.66530223726357,-75.67256305779281,-0.566598393029867
1531.2098354776547,-212.51535089887597,-72.64501961211361,-0.5274054981571739,0.057887920337116316,4.685491568545711,4.863202169227185,-216.56415806406312,-70.28684409319182,-0.637573202256374,-208.31298120074155,-75.09263564796925,-0.5250384570386561
1531.7442463008538,-212.24202115847598,-72.18582029537488,-0.4953975296595019,0.06161144934939211,4.666662964855095,4.8527099969936796,-216.34765697368334,-69.96737539399989,-0.5735837149908143,-207.97270492233108,-74.4927085004494,-0.5103510464265277
1532.2801144371433,-211.98251574116128,-71.71700623487948,-0.46128712381011905,0.06537141134996685,4.650263017069995,4.849114935021768,-216.1467348453581,-69.64716919294331,-0.5507986207079176,-207.6402286540135,-73.87535247815019,-0.4798128125807348
1532.8175256132895,-211.73812969017735,-71.23840646842822,-0.42546083277921287,0.06721775879034786,4.630344193861153,4.846107025139882,-215.9556723337835,-69.32727554591472,-0.522178914995741,-207.32405976831188,-73.2385914658704,-0.4433966078458771
1533.356662973328,-211.51008426343424,-70.7499055526626,-0.38909805252905905,0.06692674686875921,4.610887511851683,4.846812528172086,-215.77631528158994,-69.00074674149766,-0.4671323196902837,-207.02556324796285,-72.58856347219015,-0.4069430337512667
1533.8977509724696,-211.29913701057401,-70.25166319513723,-0.3526928216692711,0.0673767714387845,4.598568565590651,4.840843043423218,-215.61464503600027,-68.66319747787416,-0.42506824426102385,-206.75626748373062,-71.92381684631187,-0.3618596731333088
1534.4409961300648,-211.10566388939858,-69.74406995888856,-0.3165114333076562,0.06469352252455318,4.589073336431043,4.835455136130346,-215.46678430596805,-68.31570627994564,-0.3831598745735443,-206.51040018982476,-71.24912075700418,-0.35064867989483806
1534.98659549465,-210.93002009195504,-69.22754683881752,-0.27911130412596297,0.07426063285584686,4.581635414386494,4.846023517317835,-215.33434921628006,-67.9652996225469,-0.3349777191614236,-206.27153451113654,-70.56263336174537,-0.29196062571833536
1535.5347531860668,-210.77260175525234,-68.70251417436162,-0.2393540169894215,0.06634016546472138,4.580822723718449,4.844719215129862,-215.2228312882772,-67.61651512761776,-0.2851624689610299,-206.06599907037858,-69.85107651058358,-0.2708728064625665
1536.0858897575217,-210.63545398141804,-68.16875000301987,-0.204073844439705,0.06276043860772798,4.590070064457922,4.844391877146057,-215.13027595844136,-67.23852498104888,-0.21195690333504036,-205.8915875983499,-69.15051596237817,-0.22408795049676633
1536.6399440557313,-210.51719108811167,-67.62749331581244,-0.17030923287217625,0.05796570243601112,4.608316383335087,4.849522132933667,-215.05883620736424,-66.84644306154968,-0.16376573839744535,-205.73782988682933,-68.44942483698104,-0.20208550009081838
1537.1969613364931,-210.41704575856846,-67.07957844367287,-0.13921040926402872,0.053378088745789504,4.618985906102781,4.850661859207812,-214.99134699212232,-66.4386423895428,-0.16693486722550333,-205.61330983531943,-67.75266213242199,-0.1720816345197731
1537.7568214428863,-210.33400817084515,-66.52593264443826,-0.11049853853571645,0.04873124870631747,4.628607627484113,4.865258198118698,-214.93438705778013,-66.01551843436273,-0.08194375226592832,-205.4984219869546,-67.06244321518977,-0.14467426336084688
1538.3192599551667,-210.26701164205002,-65.96751736916984,-0.08419153694103931,0.04460370332830857,4.661915461146651,4.870704882872932,-214.91241453107648,-65.57548705720042,-0.02401865450785512,-205.41355886645465,-66.377105224346,-0.10160536982525992
1538.883874896934,-210.21493570195807,-65.40532487470378,-0.0605466440254927,0.0385488050891736,4.703773382406885,4.873295434936032,-214.9100899456645,-65.12070115670946,0.014832571181426557,-205.3505700359261,-65.70020631409544,-0.10837105031146277
1539.4501835883175,-210.17657109065004,-64.84032963546234,-0.03942847007377992,0.03673114541146401,4.745208552332813,4.899730649963121,-214.9180916601026,-64.65328179508222,0.011335655556800495,-205.28064851836268,-65.03346846727804,-0.0795314004122527
1540.0178304610251,-210.1504256051736,-64.27329558120297,-0.02060388463777607,0.028022886117328977,4.766488300705435,4.908389760955917,-214.9159022067155,-64.17509435453721,-0.0011630889892753071,-205.24307766232408,-64.37442032232701,-0.04002862886419134
1540.5865364017302,-210.1355230194344,-63.70479244012251,-0.006718649634378293,0.021478952426816203,4.794434186626432,4.912557514906663,-214.92984899548202,-63.672580558970836,0.04837358104217704,-205.22307638115498,-63.73779794455981,-0.008132440015791165
1541.155763347468,-210.12932026884263,-63.13560343712931,0.0038876117231469998,0.01576930489002866,4.829909590701859,4.913065346361524,-214.959193361111,-63.15438020297858,0.058821826907701213,-205.2162920493021,-63.11650339480377,-0.030690679843848434
1541.7249614557022,-210.12973890380567,-62.56640785128132,0.011678563273482823,0.011970276069087599,4.861752007876365,4.934933195849705,-214.99115937109158,-62.62318483908016,0.07346453012669518,-205.19514223903838,-62.508776231775634,-0.02304460423156174
1542.2935860166097,-210.1350481019408,-61.99780937455405,0.018046595792167164,0.010860390438229438,4.899426138507341,4.933986281807211,-215.03367644048004,-62.08622253844599,0.07112811793924756,-205.20186524771614,-61.90877255157891,0.030637134019538825
1542.8613541955058,-210.14416154127466,-61.43011526899474,0.023973049804784985,0.00998650087998944,4.921469288428848,4.938643887304192,-215.06421669571859,-61.54808659677432,0.05362316262120914,-205.20693672290113,-61.3117322531369,-0.0019933138289973673
1543.42829492289,-210.15670149387356,-60.863314041042955,0.029487912305704134,0.009579596136332396,4.9416826663277975,4.954262508899053,-215.0962358279878,-61.009012828927546,0.05846352420418022,-205.20459278611085,-60.71724435362106,-0.02386506665412136
1543.9944806097637,-210.17240733133252,-60.297346938073076,0.03477895554562349,0.009088404922810668,4.95587595873707,4.982019955564182,-215.12528633848754,-60.46967238271542,0.04934018909081739,-205.19340013732895,-60.12411241581952,0.006746926144062693
1544.5599484526028,-210.19112703079966,-59.73218967911649,0.03956131508149863,0.007680050387144488,4.968616759170189,5.01309887822758,-215.15585611185,-59.928703422350786,0.07157095630281107,-205.18195063558218,-59.53391662375436,-0.05858762024816411
1545.1247460194188,-210.21263613804547,-59.167802326880995,0.043794178992246025,0.007589423929795989,4.989274098646091,5.047019695770594,-215.1971264618243,-59.38623365150269,0.07617327033451105,-205.17045558430192,-58.94684288954758,0.028161315495685235
1545.688996480816,-210.23657455301367,-58.60406031032865,0.04807665654976967,0.007542677935556821,5.0076190564057725,5.039898795729573,-215.23840750655887,-58.844717159197536,0.07560854086022561,-205.20249915808805,-58.361852157284964,0.056747985056861516
1546.2528403099952,-210.26290222327304,-58.04083190526593,0.05231035845212717,0.007485735390605575,5.020770210104651,5.048888634001271,-215.27680464813005,-58.30335043163562,0.06563944158364987,-205.220919837004,-57.7768431647864,0.012388989316614474
1546.8164268468922,-210.29160848745596,-57.47797733751449,0.05653392895562814,0.007514037643510458,5.030942614368411,5.0746288152197145,-215.31451358246022,-57.76224480953386,0.07589212224633113,-205.22508698541682,-57.19124142829953,0.012516418032679777
1547.3799013594462,-210.32268483742826,-56.915360845873664,0.06070088663088913,0.007208776445452678,5.049065307821654,5.086919480102777,-215.36245111398864,-57.22165541045626,0.09668734030596093,-205.245134105873,-56.606769910277905,0.05971536642996167
1547.9434050249158,-210.3561248154531,-56.352850668587095,0.06528344288704635,0.009532745239174667,5.069657302509959,5.088643774453814,-215.41498269732088,-56.68358031037422,0.10186437407012705,-205.27832090676125,-56.02088240480049,0.043040527486939206
